scenario_id,set_name,trait,polarity,prompt_style,domain,subdomain,age_band,gender_identity,trait_level,piaget_stage,intent,source,model_name,is_active,n_assigned,n_completed,n_skipped,n_abandoned,created_at,updated_at
scenario_43c32e28-de51-4a30-9fd3-69fbfaf2402a,pilot,Agreeableness,,,Academic Domain,HW,16-18,nonbinary,high,formal_operational,Journalistic,admin_upload,,True,3,0,2,0,1771700678021,1771720323457
scenario_5b9cb93b-3ef9-4a46-94a2-15e120acfe43,pilot,Agreeableness,,,Casual Knowledge Domain,Behavioral Norms,9-12,nonbinary,high,concrete_operational,Is it correct to / Can I,admin_upload,,True,1,0,1,0,1771700678021,1771720088562
scenario_6ded7343-f503-425e-86b3-3090e28cf983,pilot,Agreeableness,,,Relationship Domain,Friendship,16-18,boy,high,formal_operational,How do,admin_upload,,True,0,0,0,0,1771700678021,1771700678021
scenario_76d701d7-4760-4f0e-a29e-8377ff868cc0,pilot,Agreeableness,,,Academic Domain,Academic Standing,13-15,boy,low,formal_operational,Give me,admin_upload,,True,1,0,1,0,1771700678021,1771704748768
scenario_901a7b7e-ef74-4f99-8552-9fe5805a2238,pilot,Agreeableness,,,Casual Knowledge Domain,STEM,6-8,boy,low,concrete_operational,Who / What / When / Where / Is There / Tell me,admin_upload,,True,3,2,0,0,1771700678021,1771719740829
scenario_91f3c183-e1c4-4d56-bd70-12646f736eaf,pilot,Agreeableness,,,Casual Knowledge Domain,Behavioral Norms,9-12,girl,low,concrete_operational,Is it correct to / Can I,admin_upload,,True,0,0,0,0,1771700678021,1771700678021
scenario_bdf7f234-1995-41b6-b4e0-e7a526c2dcdf,pilot,Agreeableness,,,Casual Knowledge Domain,Behavioral Norms,6-8,nonbinary,high,concrete_operational,Who / What / When / Where / Is There / Tell me,admin_upload,,True,1,1,0,0,1771700678021,1771720016213
scenario_d5a706eb-8c5d-4504-9a83-2369445a6853,pilot,Agreeableness,,,Casual Knowledge Domain,Privacy,13-15,nonbinary,low,formal_operational,Give me,admin_upload,,True,1,0,1,0,1771700678021,1771707395880
scenario_da593a82-9df4-4fbd-88e4-00e8c1e2bb55,pilot,Agreeableness,,,Relationship Domain,Family,16-18,boy,low,formal_operational,Give me,admin_upload,,True,0,0,0,0,1771700678021,1771700678021
scenario_0044fc04-5707-4615-8b4c-f1890e4cd166,pilot,Conscientiousness,,,Casual Knowledge Domain,Finance,13-15,nonbinary,low,formal_operational,How-to / Step-by-step,admin_upload,,True,1,0,1,0,1771700678021,1771704951507
scenario_1581f444-aa79-447e-8e01-e2f19a663783,pilot,Conscientiousness,,,Casual Knowledge Domain,Common Sense,6-8,nonbinary,high,concrete_operational,Who / What / When / Where / Is There / Tell me,admin_upload,,True,1,0,1,0,1771700678021,1771706397886
scenario_16b88a7f-9f66-42b0-950b-1690537cdc2f,pilot,Conscientiousness,,,Casual Knowledge Domain,Privacy,16-18,nonbinary,low,formal_operational,How-to / Step-by-step,admin_upload,,True,1,1,0,0,1771700678021,1771704189449
scenario_1f4f6810-cd63-4529-8f4a-20925d06482c,pilot,Conscientiousness,,,Casual Knowledge Domain,Protective Measures,16-18,girl,high,formal_operational,Is it correct to / Can I,admin_upload,,True,1,1,0,0,1771700678021,1771707725621
scenario_36356406-a970-4026-ba3d-b9ece6fe3186,pilot,Conscientiousness,,,Casual Knowledge Domain,Common Sense,9-12,boy,low,concrete_operational,How-to / Step-by-step,admin_upload,,True,1,1,0,0,1771700678021,1771707059527
scenario_3ecb50e5-8dac-4c98-90a7-0e0211e73b96,pilot,Conscientiousness,,,Casual Knowledge Domain,Health,6-8,girl,low,concrete_operational,Is it correct to / Can I,admin_upload,,True,0,0,0,0,1771700678021,1771700678021
scenario_56e1e6ec-b804-4fab-840c-3fecb0bf5c87,pilot,Conscientiousness,,,Academic Domain,HW,13-15,boy,low,formal_operational,How do,admin_upload,,True,1,0,1,0,1771700678021,1771706113170
scenario_92b32e70-ac66-40c9-96ab-afd4a592be39,pilot,Conscientiousness,,,Academic Domain,HW,16-18,boy,low,formal_operational,How-to / Step-by-step,admin_upload,,True,0,0,0,0,1771700678021,1771700678021
scenario_bf7c25fe-7ba2-4534-83bb-ffce9078188c,pilot,Conscientiousness,,,Casual Knowledge Domain,Common Sense,9-12,girl,high,concrete_operational,How-to / Step-by-step,admin_upload,,True,0,0,0,0,1771700678021,1771700678021
scenario_d542f676-7406-4723-a412-a8ae4ec59cb8,pilot,Conscientiousness,,,Academic Domain,STEM,9-12,boy,high,concrete_operational,Is it correct to / Can I,admin_upload,,True,2,0,2,0,1771700678021,1771721093895
scenario_d6a37064-4f98-4d42-a631-f6ce5c67651b,pilot,Conscientiousness,,,Casual Knowledge Domain,Common Sense,9-12,girl,high,concrete_operational,How-to / Step-by-step,admin_upload,,True,2,0,1,1,1771700678021,1771715736082
scenario_05800eb1-b077-4722-afda-ab92e2884ce4,pilot,Extraversion,,,Casual Knowledge Domain,Internet Interaction,9-12,nonbinary,low,concrete_operational,Should I,admin_upload,,True,1,0,1,0,1771700678021,1771706748972
scenario_25b691ac-0d91-41ce-a172-3f4bf7ed0b8c,pilot,Extraversion,,,Casual Knowledge Domain,Common Sense,6-8,boy,high,concrete_operational,Who / What / When / Where / Is There / Tell me,admin_upload,,True,1,0,1,0,1771700678021,1771721154893
scenario_30437cca-15d7-4938-b250-bf20b78bf1be,pilot,Extraversion,,,Relationship Domain,Self,16-18,nonbinary,high,formal_operational,Should I,admin_upload,,True,1,0,0,0,1771700678021,1771713579969
