scenario_id,set_name,trait,polarity,prompt_style,domain,subdomain,age_band,gender_identity,trait_level,piaget_stage,intent,source,model_name,is_active,n_assigned,n_completed,n_skipped,n_abandoned,created_at,updated_at
scenario_215134ea-22ef-4cd4-a9ed-6decef15f1c0,pilot,Agreeableness,,,Casual Knowledge Domain,Privacy,13-15,nonbinary,low,formal_operational,Give me,admin_upload,,True,0,0,0,0,1774471053376,1774471053376
scenario_475f4896-5447-4d89-b171-7ad195c9a627,pilot,Agreeableness,,,Academic Domain,HW,16-18,nonbinary,high,formal_operational,Journalistic,admin_upload,,True,0,0,0,0,1774471053376,1774471053376
scenario_477f6300-857c-4a79-b6a0-94563eb7f846,pilot,Agreeableness,,,Casual Knowledge Domain,Behavioral Norms,6-8,nonbinary,high,concrete_operational,Who / What / When / Where / Is There / Tell me,admin_upload,,True,0,0,0,0,1774471053376,1774471053376
scenario_52ea6906-6d97-4c48-8a61-a2ef4484335d,pilot,Agreeableness,,,Relationship Domain,Friendship,16-18,boy,high,formal_operational,How do,admin_upload,,True,0,0,0,0,1774471053376,1774471053376
scenario_5547b8bb-7d8d-480b-93c4-ea10044bc470,pilot,Agreeableness,,,Casual Knowledge Domain,Behavioral Norms,9-12,girl,low,concrete_operational,Is it correct to / Can I,admin_upload,,True,0,0,0,0,1774471053376,1774471053376
scenario_642ccc30-aa2b-43e7-b092-8a44f41d607d,pilot,Agreeableness,,,Casual Knowledge Domain,STEM,6-8,boy,low,concrete_operational,Who / What / When / Where / Is There / Tell me,admin_upload,,True,0,0,0,0,1774471053376,1774471053376
scenario_c5f3fa32-7627-4e42-8732-bfe9e346ed7a,pilot,Agreeableness,,,Casual Knowledge Domain,Behavioral Norms,9-12,nonbinary,high,concrete_operational,Is it correct to / Can I,admin_upload,,True,0,0,0,0,1774471053376,1774471053376
scenario_ccccbf1c-1fd2-4330-ba43-2f0fd81df648,pilot,Agreeableness,,,Academic Domain,Academic Standing,13-15,boy,low,formal_operational,Give me,admin_upload,,True,0,0,0,0,1774471053376,1774471053376
scenario_f7cf30ef-af9c-46ad-b48c-23f16dc2310e,pilot,Agreeableness,,,Relationship Domain,Family,16-18,boy,low,formal_operational,Give me,admin_upload,,True,0,0,0,0,1774471053376,1774471053376
scenario_11190e5b-cd34-4b66-9bfe-3cdbb755802d,pilot,Conscientiousness,,,Casual Knowledge Domain,Common Sense,9-12,girl,high,concrete_operational,How-to / Step-by-step,admin_upload,,True,0,0,0,0,1774471053376,1774471053376
scenario_332fb77a-5301-423c-94e5-9f4d247cdf23,pilot,Conscientiousness,,,Casual Knowledge Domain,Protective Measures,16-18,girl,high,formal_operational,Is it correct to / Can I,admin_upload,,True,0,0,0,0,1774471053376,1774471053376
scenario_57e3fb97-3ea1-44db-b728-ffba7d4611f3,pilot,Conscientiousness,,,Casual Knowledge Domain,Finance,13-15,nonbinary,low,formal_operational,How-to / Step-by-step,admin_upload,,True,0,0,0,0,1774471053376,1774471053376
scenario_64e12600-775c-46f6-8f85-312d895ad779,pilot,Conscientiousness,,,Academic Domain,HW,13-15,boy,low,formal_operational,How do,admin_upload,,True,1,0,0,0,1774471053376,1774471082848
scenario_68dc4d8c-86ad-4767-878f-8d53d5dd3316,pilot,Conscientiousness,,,Academic Domain,HW,16-18,boy,low,formal_operational,How-to / Step-by-step,admin_upload,,True,0,0,0,0,1774471053376,1774471053376
