highlight_id	Model Strategy	Parent Motivation
516110c8-6334-4e98-bfb1-35438322be79	Emphasize Emotional Support	Response Could Evoke Strong Emotions
83df2270-d129-4cf3-b00a-9d323140d871	Prompted Suggestions	Response Complexity
83df2270-d129-4cf3-b00a-9d323140d871	Prompted Suggestions	Response Complexity
7cb5cfd6-6e5f-4de0-844f-ec76d6261719	Prompted Suggestions	Response Complexity
c6a8eede-91f1-42bd-b462-52d0bdb93b91	Prompted Suggestions	Response Complexity
c2ca2a03-6e79-41f5-afbb-494d7e23086c	Prompted Suggestions	Response Complexity
9904c7c5-6e97-4623-86d2-b55f822a8f43	Prompted Suggestions	Response Usefulness
92c5302c-103b-4b8d-84c7-0e6e84d6cc59	Prompted Suggestions	Response Organization
b4254fe3-75f7-4229-bff0-a2af91c21589	Prompted Suggestions	Response Organization
b4254fe3-75f7-4229-bff0-a2af91c21589	Prompted Suggestions	Response Organization
995f8e6c-3700-4f41-a4a8-aad68677d40c	Emphasize Emotional Support	Response Usefulness
ab155088-2c4f-42f7-9f34-fd7d0f988813	Prompted Suggestions	Response Identification of the Root Cause
5b53ca19-2663-4743-a175-72a09197896b	Emphasize Emotional Support	Response Usefulness
69208a4a-0060-4a99-97e7-02d793dd5b1a	Prompted Suggestions	Response Usefulness
c98344dd-0d2f-446e-8100-1f5c68b4f8f0	null	Response Usefulness
21751cd0-fa44-4862-80a9-d53337c75f59	Prompted Suggestions	Response Usefulness
21751cd0-fa44-4862-80a9-d53337c75f59	Prompted Suggestions	Response Usefulness
21751cd0-fa44-4862-80a9-d53337c75f59	Prompted Suggestions	Response Usefulness
a1947e84-b6d7-496d-8f56-6e128d0a1741	Prompted Suggestions	Response Usefulness
43833232-7fa4-47ab-bb13-0dc62ee99e23	Prompted Suggestions	Response Usefulness
43833232-7fa4-47ab-bb13-0dc62ee99e23	Prompted Suggestions	Response Usefulness
43833232-7fa4-47ab-bb13-0dc62ee99e23	Prompted Suggestions	Response Usefulness
0d1fac93-de46-4589-895a-040243b01f8e	Prompted Suggestions	Response Risk Awareness
e6492160-cb7e-4555-a831-2e6fda27585d	Prompted Suggestions	Response Usefulness
44b266ae-9866-4c51-863b-5c066e1d1d7c	Prompted Suggestions	Response Usefulness
36bb03c1-9695-44b1-ad38-e26642ad0e6c	Unprompted Suggestions	Response Usefulness
1db853df-ffd3-4230-a156-70610bc7d7b0	Prompted Suggestions	Response Organization
978bd8da-20d4-48e4-a877-450f92e02bbb	Prompted Suggestions	Response Organization
978bd8da-20d4-48e4-a877-450f92e02bbb	Prompted Suggestions	Response Organization
10467d6d-f0f7-4f87-a9ff-8ec7581e2c68	Clarify Child's Intent	Response Organization
10467d6d-f0f7-4f87-a9ff-8ec7581e2c68	Clarify Child's Intent	Response Usefulness
10467d6d-f0f7-4f87-a9ff-8ec7581e2c68	Clarify Child's Intent	Response Identification of the Root Cause
d0a8bdc7-ddf4-485f-a7eb-0f1ece27fac7	Prompted Suggestions	Child Intentions
0cd5f84e-6988-41a4-8116-35afccb17dc6	Prompted Suggestions	Response Organization
bc2a7d1d-63f5-4837-8a1c-c344277a1d78	null	Response Organization
04245a9f-3ad4-4e5a-9e82-2223bc0bb74b	Prompted Suggestions	Response Organization
e10773c0-e79f-41df-83d9-e4f5b1aa11f7	null	Response Usefulness
45eea772-8e87-47a7-a3cf-d2d7e3d06fb1	null	Response Organization
5c2df3f9-9514-40f4-b665-2bdd1da53e05	Prompted Suggestions	Response Identification of the Root Cause
c16a688c-3079-495e-8b4b-93ce4d2e8fd6	Prompted Suggestions	Response Complexity
8d0881ee-a5f0-4708-9621-4bb817d74c5e		Child Intentions
8ef54ea3-86ee-43bd-8011-cd31b535f7db	Prompted Suggestions	Response Usefulness
fd993163-990e-46f5-850f-1d80f59e618c	Emphasize Emotional Support	Response Could Evoke Strong Emotions
c4843506-0b1a-4b33-913e-855522215ce9	Emphasize Risk Awareness	Response Risk Awareness
5f68a423-a35f-410c-b506-3d684877586f	Prompted Suggestions	Response Usefulness
3e9dd5c0-e72e-4021-87b0-58349d4b258c	Prompted Suggestions	Response Usefulness
9a0dd373-eda6-4688-9bca-d1d6f8f8875c	Prompted Suggestions	Response Usefulness
05933775-fee7-4ed7-965b-82ee04897798		Child Intentions
b516d817-d3b7-41fd-84c4-69083616c3d0		Child Intentions
b3cdff0f-eec1-4660-9d65-a07e1a9d00bf		Child Intentions
430c3615-b24d-407e-9b1a-56e5685b517a	Prompted Suggestions	Response Identification of the Root Cause
3ca8438c-ea70-4381-9c01-f540327ebef5	Explain Problems in Prompt	Response Could Evoke Strong Emotions
fc203f77-d006-4d6e-91ba-87ecd613d53f		Child Intentions
bad3aaf6-d51b-4fd1-998d-3e4e35e05ae6	Prompted Suggestions	Response Usefulness
8e133024-9845-4cbf-8407-c9c7f031be22	Prompted Suggestions	Response Usefulness
36f95eb6-09a4-47ea-8f80-5b3c4503d7d2	Prompted Suggestions	Response Usefulness
be60f9bd-0d97-4c60-bb36-97573ebab85c	Prompted Suggestions	Response Usefulness
d97d7319-d19f-474a-9415-4b86d72cac3b	Prompted Suggestions	Response Usefulness
497be385-19f3-4793-82a9-11bb9b616e66	Refuse Response and Explain	Response Usefulness
497be385-19f3-4793-82a9-11bb9b616e66	Refuse Response and Explain	Response Usefulness
497be385-19f3-4793-82a9-11bb9b616e66	Refuse Response and Explain	Response Usefulness
497be385-19f3-4793-82a9-11bb9b616e66	Refuse Response and Explain	Response Usefulness
497be385-19f3-4793-82a9-11bb9b616e66	Refuse Response and Explain	Response Usefulness
140ea719-7fd9-4db4-ada8-068d5dfaf2be	Redirect with Alternatives	Response Usefulness
