highlight_id	concern_item_id	source	start_offset	end_offset	Model Strategy	Parent Motivation
516110c8-6334-4e98-bfb1-35438322be79	77e987e3-b087-4f31-a810-128176e77425	response	0	29	Emphasize Emotional Support	Response Could Evoke Strong Emotions
83df2270-d129-4cf3-b00a-9d323140d871	b4793e79-3f83-4b4f-bca4-dda271237de7	response	207	217	Prompted Suggestions	Response Complexity
83df2270-d129-4cf3-b00a-9d323140d871	62860cc2-39e8-45dc-b0c5-a2dd61be55d5	response	207	217	Prompted Suggestions	Response Complexity
7cb5cfd6-6e5f-4de0-844f-ec76d6261719	3542c456-f839-43d7-bc67-f9362271323f	response	228	291	Prompted Suggestions	Response Complexity
c6a8eede-91f1-42bd-b462-52d0bdb93b91	6e72cab0-9ecc-4690-8b15-4b9f40b1c851	response	380	448	Prompted Suggestions	Response Complexity
c2ca2a03-6e79-41f5-afbb-494d7e23086c	b4793e79-3f83-4b4f-bca4-dda271237de7	response	617	634	Prompted Suggestions	Response Complexity
9904c7c5-6e97-4623-86d2-b55f822a8f43	4ef8c14c-a2a2-4820-b3fc-b9a487e9fc87	response	725	760	Prompted Suggestions	Response Usefulness
92c5302c-103b-4b8d-84c7-0e6e84d6cc59	dd3d2ee5-a463-4ece-8a0d-93c48831d68b	response	873	971	Prompted Suggestions	Response Organization
b4254fe3-75f7-4229-bff0-a2af91c21589	b4793e79-3f83-4b4f-bca4-dda271237de7	response	1051	1081	Prompted Suggestions	Response Complexity
b4254fe3-75f7-4229-bff0-a2af91c21589	62860cc2-39e8-45dc-b0c5-a2dd61be55d5	response	1051	1081	Prompted Suggestions	Response Complexity
995f8e6c-3700-4f41-a4a8-aad68677d40c	493fce8f-a5c4-4f11-9703-dd4ade4c425d	response	0	30	Emphasize Emotional Support	Response Usefulness
ab155088-2c4f-42f7-9f34-fd7d0f988813	6e400b9b-8500-488a-b0a2-936897548b15	response	1116	1202	Clarify Child's Intent	Response Identification of the Root Cause
5b53ca19-2663-4743-a175-72a09197896b	f43d55c6-7a1a-4daf-8196-2f7d64cb49d2	response	0	161	Emphasize Emotional Support	Response Could Evoke Strong Emotions
69208a4a-0060-4a99-97e7-02d793dd5b1a	f28da5b6-82c5-4e32-80d5-c0c4a22faae8	response	487	634	Prompted Suggestions	Response Usefulness
c98344dd-0d2f-446e-8100-1f5c68b4f8f0	a3d91383-dfce-4215-b8d0-7d682c44db01	response	790	795	Prompted Suggestions	Response Usefulness
21751cd0-fa44-4862-80a9-d53337c75f59	a3d91383-dfce-4215-b8d0-7d682c44db01	response	767	770	Prompted Suggestions	Response Usefulness
21751cd0-fa44-4862-80a9-d53337c75f59	a251d13b-2929-4a41-ba48-908322faa26f	response	767	770	Prompted Suggestions	Response Usefulness
21751cd0-fa44-4862-80a9-d53337c75f59	bba97205-2257-429c-b82b-2f486e24b8b3	response	767	770	Prompted Suggestions	Response Usefulness
a1947e84-b6d7-496d-8f56-6e128d0a1741	bba97205-2257-429c-b82b-2f486e24b8b3	response	802	809	Prompted Suggestions	Response Usefulness
43833232-7fa4-47ab-bb13-0dc62ee99e23	a3d91383-dfce-4215-b8d0-7d682c44db01	response	809	825	Prompted Suggestions	Response Usefulness
43833232-7fa4-47ab-bb13-0dc62ee99e23	a251d13b-2929-4a41-ba48-908322faa26f	response	809	825	Prompted Suggestions	Response Usefulness
43833232-7fa4-47ab-bb13-0dc62ee99e23	bba97205-2257-429c-b82b-2f486e24b8b3	response	809	825	Prompted Suggestions	Response Usefulness
0d1fac93-de46-4589-895a-040243b01f8e	bf358a50-9e7a-4cec-9fa7-899042c7a53a	response	1438	1500	Clarify Child's Intent	Response Risk Awareness
e6492160-cb7e-4555-a831-2e6fda27585d	67e179fd-db59-4f42-8ce1-cb6e1d864749	response	514	816	Redirect with Alternatives	Response Usefulness
