concern_item_id,highlight_id,response_characteristic_code
77e987e3-b087-4f31-a810-128176e77425,516110c8-6334-4e98-bfb1-35438322be79,Emphasize Emotional Support
b4793e79-3f83-4b4f-bca4-dda271237de7,83df2270-d129-4cf3-b00a-9d323140d871,Prompted Suggestions
62860cc2-39e8-45dc-b0c5-a2dd61be55d5,83df2270-d129-4cf3-b00a-9d323140d871,Prompted Suggestions
3542c456-f839-43d7-bc67-f9362271323f,7cb5cfd6-6e5f-4de0-844f-ec76d6261719,Prompted Suggestions
6e72cab0-9ecc-4690-8b15-4b9f40b1c851,c6a8eede-91f1-42bd-b462-52d0bdb93b91,Prompted Suggestions
b4793e79-3f83-4b4f-bca4-dda271237de7,c2ca2a03-6e79-41f5-afbb-494d7e23086c,Prompted Suggestions
4ef8c14c-a2a2-4820-b3fc-b9a487e9fc87,9904c7c5-6e97-4623-86d2-b55f822a8f43,Prompted Suggestions
dd3d2ee5-a463-4ece-8a0d-93c48831d68b,92c5302c-103b-4b8d-84c7-0e6e84d6cc59,Prompted Suggestions
b4793e79-3f83-4b4f-bca4-dda271237de7,b4254fe3-75f7-4229-bff0-a2af91c21589,Prompted Suggestions
62860cc2-39e8-45dc-b0c5-a2dd61be55d5,b4254fe3-75f7-4229-bff0-a2af91c21589,Prompted Suggestions
493fce8f-a5c4-4f11-9703-dd4ade4c425d,995f8e6c-3700-4f41-a4a8-aad68677d40c,Emphasize Emotional Support
6e400b9b-8500-488a-b0a2-936897548b15,ab155088-2c4f-42f7-9f34-fd7d0f988813,Redirect with Alternatives
f43d55c6-7a1a-4daf-8196-2f7d64cb49d2,5b53ca19-2663-4743-a175-72a09197896b,Explain Problems in Prompt
f28da5b6-82c5-4e32-80d5-c0c4a22faae8,69208a4a-0060-4a99-97e7-02d793dd5b1a,Prompted Suggestions
a3d91383-dfce-4215-b8d0-7d682c44db01,c98344dd-0d2f-446e-8100-1f5c68b4f8f0,Redirect with Alternatives
a3d91383-dfce-4215-b8d0-7d682c44db01,21751cd0-fa44-4862-80a9-d53337c75f59,Redirect with Alternatives
a251d13b-2929-4a41-ba48-908322faa26f,21751cd0-fa44-4862-80a9-d53337c75f59,Redirect with Alternatives
bba97205-2257-429c-b82b-2f486e24b8b3,21751cd0-fa44-4862-80a9-d53337c75f59,Redirect with Alternatives
bba97205-2257-429c-b82b-2f486e24b8b3,a1947e84-b6d7-496d-8f56-6e128d0a1741,Redirect with Alternatives
a3d91383-dfce-4215-b8d0-7d682c44db01,43833232-7fa4-47ab-bb13-0dc62ee99e23,Redirect with Alternatives
a251d13b-2929-4a41-ba48-908322faa26f,43833232-7fa4-47ab-bb13-0dc62ee99e23,Redirect with Alternatives
bba97205-2257-429c-b82b-2f486e24b8b3,43833232-7fa4-47ab-bb13-0dc62ee99e23,Redirect with Alternatives
bf358a50-9e7a-4cec-9fa7-899042c7a53a,0d1fac93-de46-4589-895a-040243b01f8e,Clarify Child's Intent
67e179fd-db59-4f42-8ce1-cb6e1d864749,e6492160-cb7e-4555-a831-2e6fda27585d,Prompted Suggestions
0c9f6f40-8399-498b-97f9-a65929abb669,e6492160-cb7e-4555-a831-2e6fda27585d,Prompted Suggestions
625dd8f6-3e1d-47f5-b06d-fc3b0c5a0b3f,e6492160-cb7e-4555-a831-2e6fda27585d,Prompted Suggestions
e3c8a782-fb09-46ab-8a35-f0a6072a6ef4,44b266ae-9866-4c51-863b-5c066e1d1d7c,Prompted Suggestions
e3c8a782-fb09-46ab-8a35-f0a6072a6ef4,36bb03c1-9695-44b1-ad38-e26642ad0e6c,Unprompted Suggestions
9ac31af7-34b2-451f-a079-35bfe70b807a,1db853df-ffd3-4230-a156-70610bc7d7b0,Prompted Suggestions
9ac31af7-34b2-451f-a079-35bfe70b807a,978bd8da-20d4-48e4-a877-450f92e02bbb,Prompted Suggestions
0de8e0a9-3219-4a9c-a7e5-e75ced16e050,978bd8da-20d4-48e4-a877-450f92e02bbb,Prompted Suggestions
9ac31af7-34b2-451f-a079-35bfe70b807a,10467d6d-f0f7-4f87-a9ff-8ec7581e2c68,Prompted Suggestions
0de8e0a9-3219-4a9c-a7e5-e75ced16e050,10467d6d-f0f7-4f87-a9ff-8ec7581e2c68,Prompted Suggestions
d0f9b707-0ce6-4419-a63f-cbed8a3deae0,10467d6d-f0f7-4f87-a9ff-8ec7581e2c68,Prompted Suggestions
d76e9c0d-c08d-43b0-97e8-1d1d9b4ac9b5,0cd5f84e-6988-41a4-8116-35afccb17dc6,Prompted Suggestions
2fedb1a4-25e1-4c49-bf1d-cf2ab08d94b8,bc2a7d1d-63f5-4837-8a1c-c344277a1d78,Prompted Suggestions
53917341-d8b8-46e7-ab45-a03acf3e02d2,04245a9f-3ad4-4e5a-9e82-2223bc0bb74b,Prompted Suggestions
a50611bc-5cbd-4db0-b7ca-5fb7601e7603,e10773c0-e79f-41df-83d9-e4f5b1aa11f7,Prompted Suggestions
32a8b520-1b1f-48bc-9d82-40e66dafb08f,45eea772-8e87-47a7-a3cf-d2d7e3d06fb1,Prompted Suggestions
c3a48695-98a5-4d0c-bcac-04b32932e03a,5c2df3f9-9514-40f4-b665-2bdd1da53e05,Prompted Suggestions
17950a11-bb06-4715-9ca4-3bca49390f12,c16a688c-3079-495e-8b4b-93ce4d2e8fd6,Prompted Suggestions
163c4b2a-d3d9-4f3f-8d35-7eb9afb51edf,8ef54ea3-86ee-43bd-8011-cd31b535f7db,Prompted Suggestions
