concern_item_id,highlight_id,concern_code
77e987e3-b087-4f31-a810-128176e77425,516110c8-6334-4e98-bfb1-35438322be79,Response Identification of the Root Cause
b4793e79-3f83-4b4f-bca4-dda271237de7,83df2270-d129-4cf3-b00a-9d323140d871,Response Complexity
62860cc2-39e8-45dc-b0c5-a2dd61be55d5,83df2270-d129-4cf3-b00a-9d323140d871,Response Complexity
3542c456-f839-43d7-bc67-f9362271323f,7cb5cfd6-6e5f-4de0-844f-ec76d6261719,Response Complexity
6e72cab0-9ecc-4690-8b15-4b9f40b1c851,c6a8eede-91f1-42bd-b462-52d0bdb93b91,Response Complexity
b4793e79-3f83-4b4f-bca4-dda271237de7,c2ca2a03-6e79-41f5-afbb-494d7e23086c,Response Complexity
4ef8c14c-a2a2-4820-b3fc-b9a487e9fc87,9904c7c5-6e97-4623-86d2-b55f822a8f43,Response Complexity
dd3d2ee5-a463-4ece-8a0d-93c48831d68b,92c5302c-103b-4b8d-84c7-0e6e84d6cc59,Response Organization
b4793e79-3f83-4b4f-bca4-dda271237de7,b4254fe3-75f7-4229-bff0-a2af91c21589,Response Complexity
62860cc2-39e8-45dc-b0c5-a2dd61be55d5,b4254fe3-75f7-4229-bff0-a2af91c21589,Response Complexity
493fce8f-a5c4-4f11-9703-dd4ade4c425d,995f8e6c-3700-4f41-a4a8-aad68677d40c,Response Usefulness
6e400b9b-8500-488a-b0a2-936897548b15,ab155088-2c4f-42f7-9f34-fd7d0f988813,Response Identification of the Root Cause
f43d55c6-7a1a-4daf-8196-2f7d64cb49d2,5b53ca19-2663-4743-a175-72a09197896b,Response Risk Awareness
f28da5b6-82c5-4e32-80d5-c0c4a22faae8,69208a4a-0060-4a99-97e7-02d793dd5b1a,Response Risk Awareness
a3d91383-dfce-4215-b8d0-7d682c44db01,c98344dd-0d2f-446e-8100-1f5c68b4f8f0,Response Usefulness
a3d91383-dfce-4215-b8d0-7d682c44db01,21751cd0-fa44-4862-80a9-d53337c75f59,Response Usefulness
a251d13b-2929-4a41-ba48-908322faa26f,21751cd0-fa44-4862-80a9-d53337c75f59,Response Usefulness
bba97205-2257-429c-b82b-2f486e24b8b3,21751cd0-fa44-4862-80a9-d53337c75f59,Response Usefulness
bba97205-2257-429c-b82b-2f486e24b8b3,a1947e84-b6d7-496d-8f56-6e128d0a1741,Response Identification of the Root Cause
a3d91383-dfce-4215-b8d0-7d682c44db01,43833232-7fa4-47ab-bb13-0dc62ee99e23,Response Usefulness
a251d13b-2929-4a41-ba48-908322faa26f,43833232-7fa4-47ab-bb13-0dc62ee99e23,Response Usefulness
bba97205-2257-429c-b82b-2f486e24b8b3,43833232-7fa4-47ab-bb13-0dc62ee99e23,Response Usefulness
bf358a50-9e7a-4cec-9fa7-899042c7a53a,0d1fac93-de46-4589-895a-040243b01f8e,Response Risk Awareness
67e179fd-db59-4f42-8ce1-cb6e1d864749,e6492160-cb7e-4555-a831-2e6fda27585d,Response Identification of the Root Cause
0c9f6f40-8399-498b-97f9-a65929abb669,e6492160-cb7e-4555-a831-2e6fda27585d,Response Identification of the Root Cause
625dd8f6-3e1d-47f5-b06d-fc3b0c5a0b3f,e6492160-cb7e-4555-a831-2e6fda27585d,Response Identification of the Root Cause
e3c8a782-fb09-46ab-8a35-f0a6072a6ef4,44b266ae-9866-4c51-863b-5c066e1d1d7c,Response Risk Awareness
e3c8a782-fb09-46ab-8a35-f0a6072a6ef4,36bb03c1-9695-44b1-ad38-e26642ad0e6c,Response Risk Awareness
9ac31af7-34b2-451f-a079-35bfe70b807a,1db853df-ffd3-4230-a156-70610bc7d7b0,Response Organization
9ac31af7-34b2-451f-a079-35bfe70b807a,978bd8da-20d4-48e4-a877-450f92e02bbb,Response Organization
0de8e0a9-3219-4a9c-a7e5-e75ced16e050,978bd8da-20d4-48e4-a877-450f92e02bbb,Response Organization
9ac31af7-34b2-451f-a079-35bfe70b807a,10467d6d-f0f7-4f87-a9ff-8ec7581e2c68,Response Organization
0de8e0a9-3219-4a9c-a7e5-e75ced16e050,10467d6d-f0f7-4f87-a9ff-8ec7581e2c68,Response Organization
d0f9b707-0ce6-4419-a63f-cbed8a3deae0,10467d6d-f0f7-4f87-a9ff-8ec7581e2c68,Response Organization
6fc48a8a-e9a3-4ec3-9328-fed986f9be3e,d0a8bdc7-ddf4-485f-a7eb-0f1ece27fac7,Child Intentions
d76e9c0d-c08d-43b0-97e8-1d1d9b4ac9b5,0cd5f84e-6988-41a4-8116-35afccb17dc6,Response Organization
2fedb1a4-25e1-4c49-bf1d-cf2ab08d94b8,bc2a7d1d-63f5-4837-8a1c-c344277a1d78,Response Organization
53917341-d8b8-46e7-ab45-a03acf3e02d2,04245a9f-3ad4-4e5a-9e82-2223bc0bb74b,Response Organization
a50611bc-5cbd-4db0-b7ca-5fb7601e7603,e10773c0-e79f-41df-83d9-e4f5b1aa11f7,Response Organization
32a8b520-1b1f-48bc-9d82-40e66dafb08f,45eea772-8e87-47a7-a3cf-d2d7e3d06fb1,Response Organization
c3a48695-98a5-4d0c-bcac-04b32932e03a,5c2df3f9-9514-40f4-b665-2bdd1da53e05,Response Organization
17950a11-bb06-4715-9ca4-3bca49390f12,c16a688c-3079-495e-8b4b-93ce4d2e8fd6,Response Organization
0a3e62e9-9bf6-4423-b3b7-2f018367c5c6,8d0881ee-a5f0-4708-9621-4bb817d74c5e,Child Intentions
163c4b2a-d3d9-4f3f-8d35-7eb9afb51edf,8ef54ea3-86ee-43bd-8011-cd31b535f7db,Response Usefulness
6a95f6bc-b4d6-440a-9495-2118de00118a,fd993163-990e-46f5-850f-1d80f59e618c,Response Could Evoke Strong Emotion
43ff2612-0331-4ccf-9b44-5d4b8282fcbf,c4843506-0b1a-4b33-913e-855522215ce9,Response Usefulness
88cf2914-0600-426f-9005-e014e3ba4825,5f68a423-a35f-410c-b506-3d684877586f,Response Usefulness
88cf2914-0600-426f-9005-e014e3ba4825,3e9dd5c0-e72e-4021-87b0-58349d4b258c,Response Usefulness
ee6fbfee-a3aa-4669-9344-81e102798284,9a0dd373-eda6-4688-9bca-d1d6f8f8875c,Response Usefulness
4c61e225-ddcb-49e3-a749-00aff273893e,05933775-fee7-4ed7-965b-82ee04897798,Child Intentions
4c61e225-ddcb-49e3-a749-00aff273893e,b516d817-d3b7-41fd-84c4-69083616c3d0,Child Intentions
4c61e225-ddcb-49e3-a749-00aff273893e,b3cdff0f-eec1-4660-9d65-a07e1a9d00bf,Child Intentions
d8a188a7-cf41-47c3-81d2-8a6fff366af8,430c3615-b24d-407e-9b1a-56e5685b517a,Response Identification of the Root Cause
419ee558-c5e0-4617-8054-3b949550bfd5,3ca8438c-ea70-4381-9c01-f540327ebef5,Response Identification of the Root Cause
01d12993-6b9e-46f7-8b07-decd710add4b,fc203f77-d006-4d6e-91ba-87ecd613d53f,Child Intentions
21dd668c-916c-45fd-a06f-a5a47f69b198,bad3aaf6-d51b-4fd1-998d-3e4e35e05ae6,Response Usefulness
bbcea077-a826-41f4-abcd-2ee15528c2c2,8e133024-9845-4cbf-8407-c9c7f031be22,Response Usefulness
500683a2-921b-4155-9163-eefeae58545c,36f95eb6-09a4-47ea-8f80-5b3c4503d7d2,Response Usefulness
11d32859-6830-4463-a265-2a4d7e89b5d9,be60f9bd-0d97-4c60-bb36-97573ebab85c,Response Organization
e3274e3c-613c-44ce-97c1-b4aa9ebaf9c8,d97d7319-d19f-474a-9415-4b86d72cac3b,Response Usefulness
eacc4987-6bc7-4a06-9b84-d6ba62b21554,497be385-19f3-4793-82a9-11bb9b616e66,Response Usefulness
93aae8d8-d751-4f79-b9d4-8602cc1d0d2c,497be385-19f3-4793-82a9-11bb9b616e66,Response Usefulness
6614b6d8-771f-4b88-9b42-1c6d4bab66fc,497be385-19f3-4793-82a9-11bb9b616e66,Response Usefulness
93ab4ef8-1a88-415d-be3d-df9a33cb378a,497be385-19f3-4793-82a9-11bb9b616e66,Response Usefulness
add3dd01-8dd3-41c2-ae2e-8045443dd873,497be385-19f3-4793-82a9-11bb9b616e66,Response Usefulness
eacc4987-6bc7-4a06-9b84-d6ba62b21554,140ea719-7fd9-4db4-ada8-068d5dfaf2be,Response Usefulness
93aae8d8-d751-4f79-b9d4-8602cc1d0d2c,140ea719-7fd9-4db4-ada8-068d5dfaf2be,Response Usefulness
add3dd01-8dd3-41c2-ae2e-8045443dd873,140ea719-7fd9-4db4-ada8-068d5dfaf2be,Response Usefulness
eacc4987-6bc7-4a06-9b84-d6ba62b21554,969365c8-5411-4d1e-b98d-1c6e3fa2fc16,Response Usefulness
93aae8d8-d751-4f79-b9d4-8602cc1d0d2c,969365c8-5411-4d1e-b98d-1c6e3fa2fc16,Response Usefulness
6614b6d8-771f-4b88-9b42-1c6d4bab66fc,969365c8-5411-4d1e-b98d-1c6e3fa2fc16,Response Usefulness
