scenario_id,set_name,trait,polarity,prompt_style,domain,subdomain,age_band,gender_identity,trait_level,piaget_stage,intent,source,model_name,is_active,n_assigned,n_completed,n_skipped,n_abandoned,created_at,updated_at
scenario_12c22218-aea3-4a98-9916-a74751a22c4c,test,Agreeableness,,,Relationship Domain,Family,16-18,boy,low,formal_operational,Give me,admin_upload,,True,0,0,0,0,1773429347951,1773429347951
scenario_15d00c18-5101-47d4-ade2-c6f625e6430a,test,Agreeableness,,,Casual Knowledge Domain,Behavioral Norms,9-12,nonbinary,high,concrete_operational,Is it correct to / Can I,admin_upload,,True,0,0,0,0,1773429347951,1773429347951
scenario_16814d15-64ad-45d8-b1a1-ad3a6aefbec6,test,Agreeableness,,,Academic Domain,HW,16-18,nonbinary,high,formal_operational,Journalistic,admin_upload,,True,0,0,0,0,1773429347951,1773429347951
scenario_31c8ec8f-cfd1-40e6-8d30-08a44460239f,test,Agreeableness,,,Casual Knowledge Domain,Privacy,13-15,nonbinary,low,formal_operational,Give me,admin_upload,,True,1,0,0,0,1773429347951,1773429505060
scenario_409b8a1c-7e10-40ec-88ef-5e59f6a96f8e,test,Agreeableness,,,Casual Knowledge Domain,Behavioral Norms,6-8,nonbinary,high,concrete_operational,Who / What / When / Where / Is There / Tell me,admin_upload,,True,0,0,0,0,1773429347951,1773429347951
scenario_5286e169-b0dd-43e9-a58c-d9bf9391a7be,test,Agreeableness,,,Casual Knowledge Domain,Behavioral Norms,9-12,girl,low,concrete_operational,Is it correct to / Can I,admin_upload,,True,0,0,0,0,1773429347951,1773429347951
scenario_7f30e61a-9c6c-458c-bbef-6b4e3fd37297,test,Agreeableness,,,Casual Knowledge Domain,STEM,6-8,boy,low,concrete_operational,Who / What / When / Where / Is There / Tell me,admin_upload,,True,0,0,0,0,1773429347951,1773429347951
scenario_cbe07b85-4b37-4b91-968f-6dd7e377855c,test,Agreeableness,,,Relationship Domain,Friendship,16-18,boy,high,formal_operational,How do,admin_upload,,True,0,0,0,0,1773429347951,1773429347951
scenario_fe040fe0-3355-44c0-884f-19a9fe39ef8f,test,Agreeableness,,,Academic Domain,Academic Standing,13-15,boy,low,formal_operational,Give me,admin_upload,,True,1,0,0,0,1773429347951,1773429504927
scenario_087c5779-9211-465d-a1cc-5fadce6ed686,test,Conscientiousness,,,Academic Domain,HW,16-18,boy,low,formal_operational,How-to / Step-by-step,admin_upload,,True,0,0,0,0,1773429347951,1773429347951
